arm,endpoint,mean_or_rate,median,n,q25,q75,sd,split
B00_strong_nominal_mppi,direction_switch_count,0.0,0.0,180,0.0,0.0,0.0,id
B00_strong_nominal_mppi,three_phase_oscillation_count,0.0,0.0,180,0.0,0.0,0.0,id
B00_strong_nominal_mppi,premature_reverse_count,0.0,0.0,180,0.0,0.0,0.0,id
B00_strong_nominal_mppi,release_delay_max_s,0.0,0.0,180,0.0,0.0,0.0,id
B00_strong_nominal_mppi,conflict_traversal_time_failure_penalized_s,20.796111111110722,8.949999999997782,180,6.09999999999954,40.0,16.417926446857127,id
B00_strong_nominal_mppi,zero_speed_risk_steps,0.0,0.0,180,0.0,0.0,0.0,id
B00_strong_nominal_mppi,planner_compute_ms_p95_health_only,9.92499272219397,9.839862499302399,180,9.702074999313481,10.040981250085679,0.34198331315769315,id
B00_strong_nominal_mppi,planner_deadline_miss_rate_health_only,0.0,0.0,180,0.0,0.0,0.0,id
B10_learning_only,safe_success,0.8388888888888889,,180,,,,id
B10_learning_only,collision,0.15,,180,,,,id
B10_learning_only,boundary_violation,0.0,,180,,,,id
B10_learning_only,failure_penalized_steps,330.0833333333333,310.0,180,304.0,349.0,36.68907179020499,id
B10_learning_only,final_goal_distance,0.8059542079047853,0.2932611784013125,180,0.28811589511523705,0.2984609913191467,1.386751217499957,id
B10_learning_only,path_progress_m_max,8.034924277528365,8.510697653828316,180,8.502903218726066,8.51920263133075,1.400093414666061,id
B10_learning_only,minimum_clearance,0.26432115999514977,0.3240810135897414,180,0.23509831273372567,0.32810473325190165,0.14193909487031964,id
B10_learning_only,conflict_q05_clearance,0.34503949292986597,0.3280094864204129,180,0.32551275619296216,0.34550626469429147,0.14221054023024257,id
B10_learning_only,trajectory_length,8.441099730295004,8.615140316265606,180,8.537205982438213,9.12748277341798,1.5657422940954309,id
B10_learning_only,applied_control_jerk,0.03386843019460594,0.030711977108694277,180,0.022951830144943938,0.04161579184170818,0.012294088271920188,id
B10_learning_only,stuck_steps,20.155555555555555,21.0,180,14.75,24.0,8.3061680132258,id
B10_learning_only,spin_steps,10.11111111111111,10.0,180,7.0,13.0,5.132750456641662,id
B10_learning_only,direction_switch_count,0.55,0.0,180,0.0,1.0,0.749487720763602,id
B10_learning_only,three_phase_oscillation_count,0.0,0.0,180,0.0,0.0,0.0,id
B10_learning_only,premature_reverse_count,0.3388888888888889,0.0,180,0.0,1.0,0.48627978806247757,id
B10_learning_only,release_delay_max_s,0.0,0.0,180,0.0,0.0,0.0,id
B10_learning_only,conflict_traversal_time_failure_penalized_s,20.46055555555497,9.29999999999741,180,6.6999999999994735,40.0,15.976894969736904,id
B10_learning_only,zero_speed_risk_steps,0.0,0.0,180,0.0,0.0,0.0,id
B10_learning_only,planner_compute_ms_p95_health_only,464.13564808329585,467.77071750111645,180,466.5290649984854,469.3230074993153,17.943703459517955,id
B10_learning_only,planner_deadline_miss_rate_health_only,1.0,1.0,180,1.0,1.0,0.0,id
B01_probability_only,safe_success,0.5833333333333334,,180,,,,id
B01_probability_only,collision,0.1,,180,,,,id
B01_probability_only,boundary_violation,0.0,,180,,,,id
B01_probability_only,failure_penalized_steps,386.0833333333333,388.5,180,379.0,400.0,16.89529867502897,id
B01_probability_only,final_goal_distance,0.917635173809148,0.29888740979358885,180,0.2952838897634155,0.4853861767575568,1.6044634679439678,id
B01_probability_only,path_progress_m_max,8.015053455364098,8.553261181965386,180,8.360110759448691,8.559897317239825,1.4233762909631604,id
B01_probability_only,minimum_clearance,0.3102583190672687,0.36060517702665223,180,0.35113022451994946,0.3609582248823912,0.1298547924023172,id
B01_probability_only,conflict_q05_clearance,0.4701514443721097,0.370134194170192,180,0.36918652002888774,0.41851636371236306,0.22531004126737483,id
B01_probability_only,trajectory_length,9.063843330244787,9.463153826349567,180,9.164348555412275,9.526389203947073,1.4340238455141188,id
B01_probability_only,applied_control_jerk,0.07145409950563274,0.06554690245635625,180,0.06184695808348344,0.07727682922364791,0.014801079490193225,id
B01_probability_only,stuck_steps,32.75,26.0,180,18.0,41.0,19.69512743530078,id
B01_probability_only,spin_steps,1.6888888888888889,0.0,180,0.0,0.25,5.185162424944874,id
B01_probability_only,direction_switch_count,1.3777777777777778,1.0,180,1.0,2.0,1.047239283993476,id
B01_probability_only,three_phase_oscillation_count,0.03333333333333333,0.0,180,0.0,0.0,0.23398419466270645,id
B01_probability_only,premature_reverse_count,0.03333333333333333,0.0,180,0.0,0.0,0.18000620721761654,id
B01_probability_only,release_delay_max_s,0.8127777777776864,0.39999999999995595,180,0.19999999999998885,0.8999999999996233,1.0586188195425466,id
B01_probability_only,conflict_traversal_time_failure_penalized_s,21.80555555555507,9.399999999997512,180,6.6999999999994735,40.0,16.200612865924075,id
B01_probability_only,zero_speed_risk_steps,19.433333333333334,13.0,180,10.0,25.0,15.429819493725082,id
B01_probability_only,planner_compute_ms_p95_health_only,33.51939852775811,32.87377499764261,180,32.42943999907766,34.25598000117134,1.8513104153578979,id
B01_probability_only,planner_deadline_miss_rate_health_only,0.0,0.0,180,0.0,0.0,0.0,id
B11_full_proposed,safe_success,0.7944444444444444,,180,,,,id
B11_full_proposed,collision,0.12777777777777777,,180,,,,id
B11_full_proposed,boundary_violation,0.0,,180,,,,id
B11_full_proposed,failure_penalized_steps,337.7888888888889,318.5,180,303.0,382.25,40.598179347802045,id
B11_full_proposed,final_goal_distance,0.8020087263713731,0.2943545376305511,180,0.2887459750676766,0.29859188164990047,1.4148998184540733,id
B11_full_proposed,path_progress_m_max,8.066121523327707,8.50784424081969,180,8.502654986322124,8.51517504723233,1.292157190370702,id
B11_full_proposed,minimum_clearance,0.29420315826745197,0.3511202312251284,180,0.3334930857526694,0.360955006567402,0.13771297789323253,id
B11_full_proposed,conflict_q05_clearance,0.41478328782919616,0.3693580477474635,180,0.355061057605367,0.4165908156601654,0.15754345105852155,id
B11_full_proposed,trajectory_length,8.73080940873631,8.847615599762843,180,8.759325176235377,9.231596482903552,1.2839964907034085,id
B11_full_proposed,applied_control_jerk,0.039984471066054954,0.03539004845564668,180,0.026519195101049477,0.050068626872595584,0.01624307776369677,id
B11_full_proposed,stuck_steps,20.505555555555556,15.0,180,10.0,27.0,15.011167992335007,id
B11_full_proposed,spin_steps,3.077777777777778,0.0,180,0.0,2.0,7.238518595591316,id
B11_full_proposed,direction_switch_count,1.5722222222222222,1.0,180,1.0,2.0,1.1913588108807482,id
